"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}"
0,0.00476738789514498,0.000274428280632789,0,0,0,0,0.0983,0,0.2829,0,0.52,0,0,0,0,0,0,0
4.8828125e-007,0.0571656365991811,0.000798582838454646,-8.44254794154774e-012,-5.16662342315389e-013,-1.72903381842898e-005,-1.05812447706192e-006,0.0983,-8.29902462654143e-013,0.2829,-2.20689403244143e-012,0.52,-2.32939467380441e-012,-2.09731802175435e-006,-1.22742439339182e-008,0.426183844806778,0.00413170344787867,0.0524206129112337,0.000508199524089077
9.765625e-007,0.109506136986135,0.00132217015559619,-2.52878934810219e-011,-1.57834324698874e-012,-3.4499267664843e-005,-2.17432249277102e-006,0.0983,-2.48579992918445e-012,0.2829,-6.61099636542173e-012,0.52,-6.98522154928276e-012,-4.18476116774546e-006,-2.52221409161438e-008,0.85189799072044,0.00825893902955205,0.104783452858614,0.0010158495006349
1.35981670007862e-006,0.150553403710156,0.00173279241985051,-4.35939523963071e-011,-2.75504715186404e-012,-4.79572496356137e-005,-3.08566113831124e-006,0.0983,-4.28528552055699e-012,0.2829,-1.13975182028175e-011,0.52,-1.20507398825245e-011,-5.81721438079994e-006,-3.57936692044103e-008,1.1857580411029,0.0114957171498017,0.145848239055657,0.00141397320942561
1.74307090015725e-006,0.19156030704763,0.00214301903133843,-6.77342632019896e-011,-4.34953308250581e-012,-6.13583319744549e-005,-4.03758902244431e-006,0.0983,-6.65827807275558e-012,0.2829,-1.77105127401067e-011,0.52,-1.87417870339688e-011,-7.44276566850138e-006,-4.68360326603539e-008,1.51928979380828,0.0147293791966739,0.186872644638419,0.00181171364119089
2.08799968022801e-006,0.228442408706305,0.00251198670321881,-9.29424851631487e-011,-6.03715369022851e-012,-7.33853168002399e-005,-4.91857025810663e-006,0.0983,-9.13624629153752e-012,0.2829,-2.43032969619249e-011,0.52,-2.57347061018781e-011,-8.9016389278691e-006,-5.7055414994037e-008,1.81927226038842,0.0176378141845207,0.223770488027776,0.00216945114469605
2.43292846029877e-006,0.26528999667011,0.00288061664938584,-1.23111601505044e-010,-8.10835081356342e-012,-8.5363649118466e-005,-5.83425722415595e-006,0.0983,-1.21018704279458e-011,0.2829,-3.2194697624942e-011,0.52,-3.41171876028378e-011,-1.03546106380699e-005,-6.7677383800209e-008,2.11897400805837,0.0205435895210576,0.260633802991179,0.00252686151109008
2.77785724036953e-006,0.302109885048922,0.00324897570421505,-1.57254744352181e-010,-1.04944266706447e-011,-9.73029347369236e-005,-6.77779760031183e-006,0.0983,-1.54581413698194e-011,0.2829,-4.11265559023249e-011,0.52,-4.36147844659348e-011,-1.18028459835888e-005,-7.86224521636172e-008,2.41845045973537,0.0234472315925077,0.297469406547451,0.00288400948587844
3.46771480051105e-006,0.375687825104439,0.00398508961963896,-2.34386778375505e-010,-1.59940253206962e-011,-0.000121094338755996,-8.72705741078185e-006,0.0983,-2.30402203143121e-011,0.2829,-6.13068255574752e-011,0.52,-6.50990089610122e-011,-1.46887432911024e-005,-1.01233865965069e-007,3.0169004111053,0.029249757902761,0.371078750565952,0.0035977202220396
4.15757236065257e-006,0.449158872659201,0.00472016012386366,-3.26761554652099e-010,-2.27967799808396e-011,-0.000144735064870936,-1.07837995419237e-005,0.0983,-3.21206608223014e-011,0.2829,-8.54800504711071e-011,0.52,-9.08851670045641e-011,-1.75563633688445e-005,-1.25092074686315e-007,3.61448094683009,0.0350440680405597,0.444581156460101,0.00431042036898885
