"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}","ReferenciaTheta1\position","ReferenciaTheta2\position"
0,1.6382654181253,0.078225629511028,0,0,0,0,0.0983,0,0.2829,0,0.52,0,0,0,0,0,0,0,0.25,0
2.44140625e-006,1.86196377442134,0.0860773048976021,-1.78035743523453e-010,-4.55241734157429e-012,-7.29234405472065e-005,-1.86467014310883e-006,0.0983,-1.75009135883555e-011,0.2829,-4.63935436732199e-011,0.52,-4.74729218249072e-011,-8.84561333837614e-006,-2.16301736600624e-008,0.106080904615434,0.000719975534226115,0.0130479512676983,8.85569907098122e-005,0.25,0
3.26420317521982e-006,1.93721472532885,0.0887185714176699,-2.58100056152734e-010,-6.61480815979272e-012,-9.73075010068737e-005,-2.50656116351848e-006,0.0983,-2.53712355198137e-011,0.2829,-6.72574937065701e-011,0.52,-6.88258647212569e-011,-1.18033998721338e-005,-2.90761094968144e-008,0.141765965108927,0.000962183109892654,0.017437213708398,0.000118348522516796,0.25,0
4.08700010043965e-006,2.01232659064572,0.0913549604325168,-3.58069465553542e-010,-9.21640262601626e-012,-0.000121499493175588,-3.16189133245506e-006,0.0983,-3.51982284639131e-011,0.2829,-9.33091166640566e-011,0.52,-9.54943257266851e-011,-1.47378885221988e-005,-3.66779394564786e-008,0.177385071192102,0.00120395494533267,0.0218183637566285,0.000148086458275918,0.25,0
4.90979702565947e-006,2.0872996212818,0.0939864808598443,-4.77786230639871e-010,-1.23682377454293e-011,-0.000145499772078242,-3.83063551017844e-006,0.0983,-4.69663864718993e-011,0.2829,-1.24507652610737e-010,0.52,-1.27440161780178e-010,-1.76491223530908e-005,-4.44353719180699e-008,0.212938341807745,0.0014452921633874,0.0261914160423526,0.00017777093609665,0.25,0
6.55539087609912e-006,2.23692062237779,0.0992381230292665,-7.63077418413124e-010,-1.99974454440892e-011,-0.000193051489380828,-5.19952788479101e-006,0.0983,-7.50105102300101e-011,0.2829,-1.98858070288082e-010,0.52,-2.03599464602875e-010,-2.34171456618944e-005,-6.03145234635757e-008,0.283890739353414,0.0019269500517321,0.0349185609404699,0.000237014856363048,0.25,0
8.20098472653876e-006,2.38603315590422,0.104471935487533,-1.11968052858861e-009,-2.9741470561399e-011,-0.000239901148586798,-6.6175400567588e-006,0.0983,-1.1006459596026e-010,0.2829,-2.91798017108893e-010,0.52,-2.98849719779001e-010,-2.91000093235786e-005,-7.67634646584021e-008,0.354602021369772,0.00240701898578533,0.043616048628482,0.000296063335251596,0.25,0
9.84657857697841e-006,2.53460256946731,0.109686703917494,-1.55164142377662e-009,-4.18246825385384e-011,-0.000286000961421757,-8.08801338061115e-006,0.0983,-1.52526351957241e-010,0.2829,-4.04384555412053e-010,0.52,-4.1430118764194e-010,-3.46919166204591e-005,-9.38209552150893e-008,0.425055755558971,0.00288539291431091,0.0522818579337534,0.000354903328460241,0.25,0
1.14921724274181e-005,2.68262091784682,0.114882150652159,-2.05910626370812e-009,-5.63755492662392e-011,-0.000331340026372491,-9.61170790249818e-006,0.0983,-2.02410145722508e-010,0.2829,-5.36658628642307e-010,0.52,-5.50025271373333e-010,-4.01915451989832e-005,-1.11495811668979e-007,0.495248174293373,0.00336204966194579,0.0609155254380848,0.000413532108419332,0.25,0
1.47833601282974e-005,2.97701686054006,0.125215520646477,-3.29323984575486e-009,-9.33768059951883e-011,-0.000419753484476524,-1.28175143975329e-005,0.0983,-3.23725476837703e-010,0.2829,-8.58380688753554e-010,0.52,-8.80520329455013e-010,-5.09160976670023e-005,-1.48683167011381e-007,0.634854964660953,0.00431026563454642,0.0780871606532972,0.000530162673049209,0.25,0
