Description,Min,Max,Units
Tensión de armadura,-48,48,V
Torque de carga,0.4,0.4,N m
Corriente de armadura,-207.77970521959,3.5376149068323,A
Velocidad angular,-399.005423680768,379.746268656716,rad/s
Variable de estado eléctrica,-0.033452532540354,0.000569556,Wb
Variable de estado mecánica,-0.053466726773223,0.050886,N m s
Perfil de tensión de armadura,-1,1,
Perfil de torque de carga,0.5,0.5,
Fuerza contraelectromotriz,-49.0776671127345,46.7087910447761,V
Torque electromagnético,-25.5569037420096,0.435126633540373,N m
